['अनौपचारिकता', 'अनौपचारिकीकरण', 'लिएपाठ्यक्रमअनौपचारिक', 'निरौपचारिक', 'अनौपचारिका', 'औपचारिक', 'पचारिक']
['खूँटाक', 'बूँटी', 'खूँटना', 'चूँटी', 'खूँटें', 'खूँटीदार', 'खूँटापर']
['पुष्टः', 'पुष्ट\u200dि', 'पुष्टि\u200d', 'पुष्टकाय', 'पुष्टिं', 'पुष्टिजीव', 'पुष्टिï']
['दाँतों', 'जबड़ो', 'किटकिटा', 'दाँतन', 'दाँतू', 'दाँतना', 'दाँतमे']
['टूथब्रुश', 'टूथब्रशों', 'टुथब्रश', 'साथब्रश', 'नुस्खाटूथब्रश', 'ब्रश', 'हेअरब्रश']
['चैपेस्ट', 'टेमपेस्ट', 'चीपेस्ट', 'भेस्ट', 'यथेस्ट', 'पाेस्ट', 'टुथपेस्ट']
['MI8wplgAAABK7OLuOm601guSX11NJCePSLxAwKMzGdVockHONNBqH0y6N1_xtbfV5ap5icbe9ODsPcziNXt_y0cZYpHvtBF9d1W9Ky9EyNqZEKqEg0wTWBo1YHcDYvgcK1MwRk9oTs4', '2.68545200106530644530971483548179569', 'KONGHUNGARYINDIAIRANIRAQIRELANDISRAELJAMAICAJAPANKENYAKIRGIZSTANLEBANONLIBYALITHUANIAMALAYSIAMAURITIUSMEXICOMONGOLIANAMIBIANEPALNEW', '0.76422365358922066299069873125009232', 'InyangaMutiNgangaSangomaYoruba', '2BAAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAAEhQTFRFr73ZobTPusjdsMHZp7nVwtDhzNbnwM3fu8jdq7vUt8nbxtDkw9DhpbfSvMrfssPZqLvVztbno7bRrr7W1d', 'ZEALANDNIGERIAOTHERSPAKISTANPALESTINEPARAGUAYPERUPHILIPPINESRUSSIASINGAPORESOUTH']
['seBRc0nLfCqliwPLckkYjLT_1Wc78LsTtWg4kRo7VHSdXLoybKvHIsAnIT4ujxWK7wm5no6lSp48LfYvTOUMGcDAri4kKu1jtxIGfyQi0aIKKfF06Te2g5xX9QaLDaP6zkwor3Bvth7JXGRPF4cWl16J71IdBOtdvYWNstkBv382rz2Pep4yOxuofe0cF7fyG5rabvoewCHanUAziF6xv413gBpiFxoXNpn28I3XKDolWVtUZoeH7Pn0CWA', 'पिलेट्सTriathlonयोगखाद्यएवकाडोखूबानीआटिचोकचावलचीनीब्रोकोलीकॉफीतोरीचेरीबियरप्लमखट्टेनारियलकाळेसिंहपर्णीEndiveAsparagusपालकRaspberriesस्ट्रॉबेरीग्रेनेडासौंफ़दूधनींबूआड़ूतरबूजटकसालशलजमपागलरोटीकेलेबीजस्टेवियाचायशराबकुकवीडियो', 'hogtied', 'बनाचचमकताचमड़ाचरमचश्माचाचीचिकित्सकचीखनाचीनीचुंबनचूसनाचोदनचौकड़ीछछात्रछुपाछेड़नाछोटाजजकूजीजंगलजंगल', 'ADGEEShx7HVWrj5O1ApMvRhTadAD5ySj9DMqao7bVw1goXTK0tjcsrn5fFgmebObrlrginLHYDIK4PNARtVcvjRrvFsy4hEFTgioKvJxEo1A9O7ZMHSRz4d5tcx4VgtU', 'जॉबटीनटूनटेनिसटॉपलेसट्विंकडडचडबलडीपथ्रोटडेस्कततंगतिकड़ीतिकड़ीतुर्कीथथाईथोंगददर्ददादीदिखावटीदुर्व्यवहारदुल्हनदूधदृश्यरतिधधूम्रपानधोखाननकदनंगा', 'COMWWW.SATTAMATKAK.COMWWW.SATTAMATKAK.NETWWW.SATTAMATKANO1K.COMWWW.SATTAMATKANO1K.INWWW.SATTAMATKANO1K.NET']
['अंगोँ', '13622', 'अंगोसे', '1362652901', 'YKII', 'अंगोडी', 'अंगोल']
['जलमीनार', 'क़ुतुब', 'मीनारे', 'मीनारनुमा', 'मीनारो', 'क़ुतुबमीनार', 'तेमिर']
['खोजीं', 'लिखोजी', 'खोजीजी', 'आहारखोजी', 'देखोजी', 'सत्यखोजी', 'खोजीपत्रकारिता']
['पटरीसे', '8पटरी', 'लबड़धोंधो', 'बेपटरी', 'पटरीय', 'कीपटरी', 'पटरीपर']
['ट्रैक्टर्स', 'टै्रैक्टर', 'ट्रैक्टराें', 'टैक्टर', 'ट्रैैक्टर', 'थीट्रैक्टर', 'सबट्रैक्टर']
['प्रशिक्षणIT', 'प्रशिक्षक', 'प्रषिक्षण', 'प्रशिक्षणइस', 'प्रशिक्षणC', 'प्रशिक्षणरत', 'प्रशिक्षित']
['ट्रांसफार्मराें', 'ट्रांसफार्मरों', 'ट्रांसफार्मरोें', 'ट्रांसफार्मरो', 'ट्र्रांसफार्मर', 'ट्रांसफारमराें', 'टांसफार्मर']
['कागमारी', 'झखमारी', 'सेडूमारी', 'जाजवात', 'ककमारी', 'छोपमारी', 'ठुकेमारी']
['शीतागार', 'गंथागार', 'पागार', 'कूटागार', 'शोधागार', 'समागार', 'कोशाम']
['दुपतिया', 'तिनपतिया', 'परपतिया', 'विपतिया', 'चरपतिया', 'उतपतिया', 'दिगपतिया']
['पाटती', 'खाईं', 'पाटना', 'मुहकी', 'g.yang', 'पाटने', 'अनाईकट']
['त्रिशूलमु', 'त्रिशूलं', 'त्रिशूलनी', 'त्रिशूलभेद', 'त्रिशूलएक', 'त्रिशूला', 'त्रिशूली']
['ट्रिगरानस', 'ट्रिगर्ड', 'स्ट्रिगर', 'क्रिगर', 'ट्रिगरफिश', 'ट्रिगरों', 'ट्रिगर्स']
['टिपाई', 'शिपाई', 'Tripod', 'टिकाकर', 'प्लेनटेबुल', 'पटरे', 'उकड़ूं']
['करवानी', 'देनी', 'चाहिए', 'होनी', 'होगी', 'करानी', 'करनीं']
['सुरंगे', 'सुरंगें', 'सुरंगों', 'सुरंगो', 'सुरंगतोड़क', 'सुरंगनुमा', 'ख़ोजक']
['गैसटरबाइन', 'टरबाइनो', 'टरबाइनों', 'टरबाइनें', 'भाप_टरबाइन', 'तरबाइन', 'गारबाइन']
['बुर्जवा', 'बुर्जगों', 'बुर्जोई', 'बुर्जग', 'बुर्ज़गो', 'बुर्जआगरा', 'शाहबुर्ज']
['षडीयंत्र', 'तकनीकयंत्र', 'सिद्धयंत्र', 'मणेयंत्र', 'उच्चयंत्र', 'कूपयंत्र', 'गैसयंत्र']
['अतिसूक्ष्मदर्श', 'अध:सूक्ष्मदर्शी', 'परासूक्ष्मदर्शी', 'इले.सूक्ष्मदर्शी', 'सूक्ष्मदर्शीओं', 'सूक्ष्मदर्शीक्वथन', 'सूक्ष्मदर्शीय']
['छतरीधरती', 'उडनछतरी', 'किद्या', 'भगनासे', 'किद्दां', 'छतरीवाल', 'हशामयिम']
['कनटोप', 'झबले', 'पहिर', 'साफे', 'ओढऩे', 'कलफदार', 'तहमद']
['नेताऊंची', 'seBRc0nLfCqliwPLckkYjLT_1Wc78LsTtWg4kRo7VHSdXLoybKvHIsAnIT4ujxWK7wm5no6lSp48LfYvTOUMGcDAri4kKu1jtxIGfyQi0aIKKfF06Te2g5xX9QaLDaP6zkwor3Bvth7JXGRPF4cWl16J71IdBOtdvYWNstkBv382rz2Pep4yOxuofe0cF7fyG5rabvoewCHanUAziF6xv413gBpiFxoXNpn28I3XKDolWVtUZoeH7Pn0CWA', 'राजस्थानी_के_लिए_साहित्य_अकादमी_पुरस्कार_विजेताओं_की_सूची', 'टिकटबुकिंगकरतेवक्\u200dतIRCTCडालरहाहैआपकीजेबपरडाकामोबाइलपरइंटरनेटकेबादअबबातकरनाभीहुआमहंगाइनकमटैक्\u200dसबचानेकेसातउपायमोबाइलपरमुफ्तरोमिंगकीशुरुआत', 'पिलेट्सTriathlonयोगखाद्यएवकाडोखूबानीआटिचोकचावलचीनीब्रोकोलीकॉफीतोरीचेरीबियरप्लमखट्टेनारियलकाळेसिंहपर्णीEndiveAsparagusपालकRaspberriesस्ट्रॉबेरीग्रेनेडासौंफ़दूधनींबूआड़ूतरबूजटकसालशलजमपागलरोटीकेलेबीजस्टेवियाचायशराबकुकवीडियो', 'Gaspari', 'कायुवतीबेवीसीटरअंडकोषबाथरूमबीबीसीमोटी']
['मूत्रा', 'मूत्राअशय', 'मूत्राषय', 'मूत्रांग', 'मूत्रदशक', 'मूत्रांगी', 'मूत्रशूल']
['घड़ावन', 'नौघड़ा', 'घड़ाम', 'सिबो', 'घड़ा', 'घडा', 'घड़े']
['rehni', 'खेलने', 'জানালেন', 'क्रिकेट', 'खिलाड़ी', 'सुडोको', 'gameplay']
['परिवर्तितकर', 'परिवर्तितकिया', 'परिवर्तितत्र', 'परिवर्तिद्ध', 'परिवर्तिंत', 'परिवर्तिता', 'परिवर्ति']
['वार्निशों', 'वार्निश्ड', 'वार्निशिंग', 'वार्निष', 'कार्निश', 'कौर्निश', 'बार्निश']
['फूलदानी', 'फूलदानओं', 'गुलदान', 'फूलदानियों', 'मलदान', 'उगलदान', 'फूलदाई']
['वैसलीन', 'ओषिधियों', 'गूँथकर', 'वेसलीन', 'नैफ्थीन', 'वैसलिसा', 'जसलिन']
['आगमननव', 'वध्वागमन', 'आगमनसँ', 'केआगमन', 'शुभआगमन', 'त्यौहारों', 'आगमनी']
['सवारीसवारी', 'कचरागाड़ी', 'सवारीआउडी', 'सवारीडिब्बा', 'सवारीइससे', 'दोगाड़ी', 'चीलगाड़ी']
['मखमलीपन', 'मेंमखमली', 'मखमल', 'amमखमली', 'मखमलबाफ़', 'मरमरी', 'गलीचों']
['गायलिन', 'क्लेवायलिन', 'पायलिन', 'वॉयलिन', 'वायलिन्स', 'मायलिन', 'वायलनचेलो']
['बॉलीबाल', 'वॉलीबाल', 'वाॅलीबाल', 'हाॅलवालीबाल', 'व्हालीबाल', 'वालीबाल', 'वोलीबाल']
['कछड़ी', 'पूछड़ी', 'मोरछड़ी', 'पछड़ी', 'छड़ी', 'घनबटी', 'हाथछड़ी']
['असुविधाक', 'असुविधाओं', 'असुविधाओ', 'असुविधाऐ', 'है.असुविधा', 'असुविध', 'परेशानी']
['असुविधाक', 'असुविधाओं', 'असुविधाओ', 'असुविधाऐ', 'है.असुविधा', 'असुविध', 'परेशानी']
['असुविधाक', 'असुविधाओं', 'असुविधाओ', 'असुविधाऐ', 'है.असुविधा', 'असुविध', 'परेशानी']
['बटुए', 'पर्स', 'वॉलेट', 'चेकबुक', 'वालेट', 'बैग', 'जेब']
['गेंदों', 'गेंदें', 'गोंदुक', 'गेंदं', 'गेंद23', 'फुलटॉस', 'हेजहोगों']
['मीनारगेट', 'क़ुतुबमीनार', 'यूनीनार', 'सैमीनार', 'फलबाग', 'स्कूूलों', 'मीनारी']
['अनुवाँशिक', 'अनुवात', 'अनुवाग', 'अनुवादलेख', 'अनुवाद10', 'अनुवाद1', 'अनुवाद्']
['फीट', 'फुट', '100मीटर', '3,050मीटर', 'सबमीटर', '1220मीटर', '70मीटर']
['जलचक्की', 'धियानचक्की', 'निचक्की', 'जल_चक्की', 'पनचक्कियों', 'भोचक्की', 'पवनचक्की']
['बरसातों', 'सरसाती', 'बरसातो', 'बरसातख़ूब', 'बरसातसावन', 'बरसातक', 'बरसातमे']
['आल्सो', 'इतस', 'डिनैंट', 'व्हिच', 'जंघर', 'गिवेस', 'फुलमिनैंट']
['रास्ते', 'रास्ता', 'मार्गः', 'मार्गपर', 'सदमार्ग', 'अधोमार्ग', 'कठिनमार्ग']
['धर्मकाया', 'धर्मकाय', 'धर्मकार', 'धर्मकांटा', 'धर्मकृद', 'धर्मकाव्य', 'धर्मकार्य']
['बावजद', 'वज़ूद', 'बावजह', 'बावज', 'बावजदू', 'ज़ूद', 'होतींवज़ूद']
['बावजद', 'वज़ूद', 'बावजह', 'बावज', 'बावजदू', 'ज़ूद', 'होतींवज़ूद']
['बावजद', 'वज़ूद', 'बावजह', 'बावज', 'बावजदू', 'ज़ूद', 'होतींवज़ूद']
['भूचक्र', 'वूगाँ', 'जूलचक्र', 'मणिपूरक', 'नीलचक्र', 'पूर्णचक्र', 'नादचक्र']
['भूचक्र', 'वूगाँ', 'जूलचक्र', 'मणिपूरक', 'नीलचक्र', 'पूर्णचक्र', 'नादचक्र']
['मलपथरी', 'पथरीबल', 'पित्तपथरी', '21mm', 'पथरियां', 'आएनएसएनफ', 'गॉलब्लैडर']
['चाबुकें', 'चाबुकों', 'चाबुककशाघात', 'भाबुक', 'चाबुकधारी', 'चाबुकस्वर', 'चाबुकदस्ती']
['ओसीटी', 'हैसीटी', 'pocos', 'सीटीइटी', 'सीटीज', 'सीटी2टीईई', 'सीटीआइ']
['सफ़ेद्', 'सफ़ेदपन', 'सफ़ेद_हाथी_', 'सफ़ेदआधुनिक', 'सफ़ेदपोशों', 'किशोरसफ़ेद', 'सफ़ेदी']
['सफ़ेदघर', 'सफ़ेद्', 'सफ़ेदपन', 'सफ़े', 'सफ़ेद', 'सफेदी1', 'सफ़ेर']
['विकेटसे', 'था.विकेट', 'विकेटों', 'विकेटें', 'विकेटमैच', 'हिटविकेट', '7विकेट']
['कुलबुलाहटें', 'कुलबुला', 'कुलबुलाया', 'कुलबुलाने', 'कुलबुलाती', 'कुलबुलाई', 'कुलबुलाये']
['ऒमनीबस', 'कुहुक', 'कुहुकती', 'कूकती', 'कोयल', 'कुहुकी', 'कुहुके']
['रणवाद्य', 'उदकवाद्य', 'जलवाद्य', 'नादवाद्य', 'मुखवाद्य', 'ततुंवाद्य', 'स्वरवाद्य']
['खिड़कीऔर', 'हैखिड़की', 'मेंखिड़की', 'थीखिड़की', 'है.खिड़की', 'परखिड़की', 'करखिड़की']
['खिड़कीऔर', 'हैखिड़की', 'मेंखिड़की', 'थीखिड़की', 'है.खिड़की', 'परखिड़की', 'करखिड़की']
['झनझना', 'अपब्यबहार', 'झनझनाए', 'कसाववाले', 'केबुल', 'हाईटेंशन', 'झंकृत']
['कटघरे', 'कटघराशंकर', 'कटघरिया', 'कटघर', 'कटघरें', 'कटघरापट्टी', 'कठघरा']
['जंगलि', 'जंगलीजर्क', 'जंगलीभूमि', 'जंगलीकोई', 'पालतू', 'कूकड़ो', 'जंगलीयत']
['लफंगा', 'अक्खड़', 'अहमक', 'उजड्ड', 'चुगद', 'गावदी', 'लिजलिजे']
['पुनर्नवीकृत', 'सवीकृत', 'धु्रवीकृत', 'नवीकरण', 'विमानवीकृत', 'पूर्वस्वीकृत', 'नवीकरणसैकफ़ा']
['01अरे', 'धनवान', 'वचनी', 'करडिया', 'निर्धन', 'समृद्ध', 'धनवान्']
['निर्धनकेँ', 'निर्धनतम', 'अतिनिर्धन', 'निर्धनो', 'गरीब', 'निर्धनों', 'निर्धनाय']
['01अरे', 'धनवान', 'वचनी', 'करडिया', 'निर्धन', 'समृद्ध', 'धनवान्']
['साधनहीनों', 'साधनहीनता', 'दीनहीन', 'बंधनहीन', 'धनहीन', 'साधनविहीन', 'कुछफनहीन']
['ज्ञात', 'मौतअज्ञात', 'कोअज्ञात', 'ह्बारत', 'अज्ञातकुलशील', 'unkn', 'कुलशील']
['amकार्यशाला', 'कार्यशाल', 'कलाकार्यशाला', 'कार्यशालय', 'कार्यशालों', 'कार्यशालाएं', 'कार्यशालाऒं']
['ज़िराक्स', 'जीराक्स', 'राक्स', 'फ़ाक्स', 'डिटॅाक्स', 'मिराक्स', 'वयाक्स']
['बिनीओन', 'पकिडकळि', 'सट्टे', 'जुआं', 'सट्टेबाजी', 'जुआरियों', 'जुआघर']
['राशिचक्रों', 'राशिचक्रांकित', 'भचक्र', 'खचक्र', 'निचक्र', 'क्रांतिचक्र', 'गतिचक्र']
['व्यक्तित्वभी', 'व्यक्तित्वः', 'वयक्तित्व', 'व्यक्तित्वगत', 'व्यक्तित्वलोप', 'व्यक्तित्वएक', 'व्यक्तितव']
['मानसिक_संघर्ष', 'मानसिकस्थिति', 'मानसिक_स्वास्थ्य', 'मानसिक_स्वास्थ्य_विज्ञान', 'शारीरिक_भाषा', 'युवाअवस्था', 'भारतीय_आर्थिक_सेवा']
['रुखाणी', 'भुखाई', 'सकुचाए', 'सकुचाहट', 'बेरुखाई', 'सकुचाकर', 'सकुचायी']
['आलस्यं', 'आलस्यता', 'आलस', 'आलस्यहीन', 'आलस्यवश', 'आलस्यरहित', 'आलस्यपूर्ण']
['कुंठाहीनता', 'आचरणहीनता', 'इच्छाषक्ति', 'कल्पनाहीनता', 'संकोचहीनता', 'संबंधहीनता', 'श्रद्धाहीनता']
['सौहार्दमय', 'सौहार्द्ध', 'सौहार्द', 'सौहार्द्रता', 'सौहार्द्रपूर्ण', 'सौहा\u200cर्द्र', 'सौहार्दय']
['लापरवाह', 'लापरवाहीं', 'लापरवाहीपूर्ण', 'लापरवाहीपूर्वक', 'कीलापरवाही', 'लापरवाहीयों', 'लापरवाहीगली']
['पौरुषमैं', 'पौरुषवान', 'पौरुषता', 'पौरुषीय', 'पौरुषहीन', 'पौरुषी', 'पौरुषत्व']
['ज़िम्मेदारी', 'जिम्मदारी', 'ज़िम्मेवारी', 'ज़िम्मेदारी', 'जिम्\u200dमेदारी', 'जिम्मेदारियां', 'जिम्मेदारिया']
['AMचिंता', 'सचिंता', 'मेंचिंता', 'PMचिंता', 'pmचिंता', 'परचिंता', 'निचिंता']
['दिखा', 'हैदिखाना', 'दिखलाना', 'दिखान', 'देखना', 'दिखानी', 'दिखानागलत']
['प्रभावों', 'कुप्रभाव', 'कॉरिऑलिस_प्रभाव', 'दुष्प्रभाव', 'प्रभावित', 'त्याँग', 'सहप्रभाव']
['तिलों', 'लड्ड', 'tilah', 'ताड़', 'rāmatilah', 'उड़द', 'Sesame']
['आर्कषण', 'आकर्षणमन', 'आकर्षणमय', 'आकर्षणक', 'आकर्षण्', 'विशेषआकर्षण', 'आकर्षणः']
['कुरूपताओं', 'कुरूपतम', 'कुरूपति', 'कुरूप्य', 'कुरूपों', 'विरूपता', 'कुरूप']
['विकारबहुव्यक्तित्व', 'विकारEl', 'विकारऔर', 'विकारLa', 'विकारक', 'वातविकार', 'विकारशब्द']
['मेसॉनिक', 'परमाणुबना', 'अमीलोस', 'अणुओं', 'मुआहिदे', 'IAPUC', 'molecule']
['सादगीभरी', 'सादगीभरा', 'PMसादगी', 'सादग़ी', 'सादगि', 'सादगी.बीम', 'सादगीपसंद']
['क्रिकेटीय', 'क्रिकेटप्रेमी', 'क्रिकेत', 'क्रिकेटिंग', 'क्रिकेटऔर', 'क्रिके्रट', 'समाचारक्रिकेट']
['पोलोका', 'डोन्यी', '337,399', 'मार्को', 'टीपोलो', 'पोलोथिन', 'पोलोथीन']
['फुटबालर', 'फ़ुटबाल', 'फुटबाॅल', 'फुटबा', 'फ़िटबाल', 'फुटबालीय', 'टबाल']
['खेलबैडमिंटन', 'बैंडमिंटन', 'रखाबैडमिंटन', 'संबंधितबैडमिंटन', 'बैडमिटन', 'बॅडमिंटन', 'बैडमिटंन']
['दिवालियाँ', 'दिवालियों', 'दिवालियेपन', 'दीवालिया', 'दिवालियो', 'दिवालिए', 'दिवालि']
['लबड़हत्था', 'बैनहत्था', 'फुलहत्था', 'एकहत्था', 'बत्था', 'लाषा', 'बल्लित्था']
['सव्यसांची', 'सब्\u200dयसाची', 'सब्यसाची', 'सव्यि', 'सव्यसाँची', 'वरसाची', 'वीणापाणि']
['दायां', 'दाहिना', 'बाँया', 'बीचबायाँ', 'दांया', 'ईकायाँ', 'दायाबेतिक']
['दाहिने', 'एबाएँ', 'दायें', 'बाएं', '58यान', 'सेबाएँ', 'दाएं']
['सींगां', 'सींगे', 'सींगा', 'सींगल', 'सींगन', 'सींगीया', 'सींगदाना']
['केसिंगा', 'मॉरिंगा', 'बेसिंग्थवेट', 'हरसिंगा', 'चिडिंगा', 'बहुसिंगा', '7729लक्ष्मी']
['गप्पा', 'गोलपोस्ट', 'हॉकी', 'होरचे', 'हूं.जब', 'उतऱे', 'खेतभूमि']
['भुगतान_बैंक', 'भुगताना', 'भुगताया', 'भुगताने', 'भुगतायी', 'भुगताते', 'भुगतानी']
['मिचौलीबचपन', 'आंखमिचौली', 'मिचौली', 'नचौली', 'आँखमिचौली', 'चिचौली', 'बरचौली']
['गंजिफा', 'रबत', '7,016', 'ताशों', 'तुरुप', 'पत्तों', 'पोकर']
['मोरच', 'Q9BTL4', 'मोरचे', 'मोर्चा', 'मोरचो', 'वाममोरचा', 'मोरचों']
['सलौनी', 'रेड्डी', 'यू.वी', 'बेज़ान', 'बालसौरि', 'सलौने', 'ठुनकती']
['आयताकर', 'वर्गाकार', 'आयताकृत', 'बटुआनुमा', 'रोएदार', 'आयाताकार', 'चौकोरनुमा']
['पवित्रों', 'पवित्रआत्क़ा', 'पवित्रता', 'पवित्रतम', 'अतिपवित्र', 'कोअपवित्र', 'अपवित्र']
['धार्मिकि', 'अंतधार्मिक', 'सधार्मिक', 'AMधार्मिक', 'काधार्मिक', 'agoधार्मिक', 'PMधार्मिक']
['amप्रेरणादायक', 'AMप्रेरणादायक', 'pmप्रेरणादायक', 'प्रेरणादायी', 'प्रेरणादाई', 'PMप्रेरणादायक', 'प्रेणादायक']
['गैरधर्मनिरपेक्ष', 'छद्मधर्मनिरपेक्ष', '८,२०१६धर्मनिरपेक्ष', 'धार्मनिरपेक्ष', 'धर्मनिरपेक्षी', 'धर्मनिरपेश', 'धर्मनिरपेक्षों']
['सकुशलता', 'Hochotz', 'शकुशल', 'लौट', 'सलामत', 'सलामती', 'सुरक्षित']
['माँटबिलियर्ड', 'बिलियर्ड्स', 'मोंटबिलियर्ड', 'बिलियर्डशिप', 'बिलियर्ड्सपंकज', 'बिलियर्ड्सहॉकीकुश्ती', 'गिलियर्ड']
['हेवनपूल', 'स्वीमिंग', 'स्विमिंग', 'स्\u200dवीमिंग', 'ड्रौनिंग', 'आइएनआईपी', 'chaetae']
['अवतरणओं', 'स्थिर_अवतरण', 'अवतरवा', 'Sajjanghad', 'अवतरण_हटायें', 'अवतरीत', 'अवतरति']
['बेशर्त', 'शर्तों', 'शर्तं', 'शर्तें', 'शर्तः', 'निशर्त', 'शर्तनामे']
['कोठरीसँ', 'कोठरीमे', 'कोठरीक', 'कोठर', 'कोठरीकी', 'कालकोठरी', 'कोठरियों']
['समारोहक', 'समारोहमें', 'समारोहः', 'समारोहा', 'समारेाह', 'समारोहों', 'समारोहो']
['हुड़दंगी', 'हुड़दंगबाजी', 'हुड़दंगा', 'हुड़दंगियों', 'हुड़दंगिन', 'हुडदंग', 'हुड़दंग']
['अात्मघाती', 'आत्मघातकी', 'आत्मघातक', 'आत्मघातियों', 'मर्मघाती', 'आत्मघात', 'आतमघाती']
['अस्वीकृती', 'अस्वीकृति', 'स्वीकृत', 'अस्वीकर', 'अस्वीकृतविधेयक', 'अस्वीकॄति', 'खारिज']
['पददलन', 'अदलित', 'लोगदलित', '2दलित', '27दलित', '02दलित', '1दलित']
['डुप्लीकेटों', 'डुप्लीकेटिंग', 'डुप्लीकेसी', 'डुप्लीकेशन', 'डूप्लीकेट', 'डुप्लींग', 'डुप्\u200dलीकेट']
['विपरित', 'विपरीतजो', 'इसके', 'विपरीतों', 'प्रतिकूल', 'विपरीतGL3200', 'उलट']
['अनेकों', 'अन्य', 'तमाम', 'अनेकानेक', 'सभी', 'अनेकोअनेक', 'प्रकार']
['क़ुरबान', 'कुरबा', 'कुरबां', 'कुरबाँ', 'कुरबानी', 'कुरबानीजिस', 'कुरबानियां']
[',', 'जो', 'भी', 'तब', 'व', 'अब', 'ही']
['विपरित', 'विपरीतजो', 'इसके', 'विपरीतों', 'प्रतिकूल', 'विपरीतGL3200', 'उलट']
['पचताया', 'संगंठित', 'सगंठित', 'हँसीमजाक', 'पचताइत', 'मज़ाक़िया', 'थाउजन्ड']
['नौकड़ी', 'चौकड़ी', 'धमाचैकड़ी', 'हैकड़ी', 'जगहकड़ी', 'कँकड़ी', 'चौकड़ा']
['अर्थप्रतिपादन', 'स्वयंताथ्यिक', 'पतिपादन', 'अत्यणुकलन', 'प्रतिपादनसामर्थ्य', 'पर्तिपादन', 'प्रतिपादीत']
['मृगला', 'बजबैले', 'बनबैले', 'जीबैले', 'सबैले', 'बैलेरिना', 'अबैले']
['अग्रभागसँ', 'अग्रभागकेँ', 'अग्रभागवला', 'अग्रभागमे', 'अग्रभागवाले', 'अग्रभागों', 'अग्रभागवत']
['असंतोषजनकमंत्री', 'असंतोश', 'असंतोषप्रद', 'असंतोषों', 'संतोषजनक', 'असंतोष', 'असंतो']
['विद्ववतापूर्ण', 'विद्वताक', 'विद्वत्तापूर्ण', 'विद्वतावादी', 'विद्वत्जन', 'विद्वताभरपूर', 'विद्वतजनो']
['अवैज्ञानिकों', 'गैरवैज्ञानिक', 'AMवैज्ञानिक', 'PMवैज्ञानिक', 'औषधवैज्ञानिक', 'pmवैज्ञानिक', 'भाषवैज्ञानिक']
['शरणभाव', 'भगदड़ों', 'भगदड', 'भगदड़', 'गणभाव', 'Artungan', 'भगदड़ों']
['अग्रसरित', 'अग्रसरः', 'अग्रसरण', 'अग्रसरीभूत', 'प्रगतिपथ', 'अग्रसित', 'अग्रस']
['गुप्त30', 'गुप्त4', 'गुप्त3', 'गुप्त26', 'गुप्तTue', 'गुप्तFri', 'गुप्तगु']
['वाद्ययंत्रो', 'वाद्ययंत्', 'बहुवाद्ययंत्र', 'व्वाद्ययंत्रों', 'वाद्ययंत्रक', 'वाद्ययंत्रवादक', 'वाद्ययंत्रोंसे']
['लोरीएंट', 'लोरियां', 'डुंगे', 'ओलोरी', 'अलोरी', 'फुलोरी', 'लोरियाँ']
['अदाकारी', 'अभिनयकला', 'अभिनयो', 'फिल्मों', 'अभिनयकभी', 'अभिनयों', 'अभिनेता']
['हैसांप्रदायिक', 'मज़हबसांप्रदायिक', 'असांप्रदायिकता', 'ज़रुरत10सांप्रदायिक', 'मेंसांप्रदायिक', 'सांप्रदायि\u200dक', 'सांप्रदायि']
['हैअगला', '12अगला', 'लाभअगला', 'पिछला', '33अगला', 'भागअगला', 'काअगला']
['निश्चितंता', 'निश्चितरूप', 'निश्चिती', 'निर्धारित', 'निश्चितही', 'आनिश्चित', 'निश्चि\u200dत']
['निःस्वार्थपरता', 'स्वार्थपन', 'स्वार्थपरक', 'स्वार्थपरकता', 'स्वार्थपरायण', 'स्वार्थपरायणता', 'स्\u200dवार्थपरता']
['निस्वार्थभाव', 'हैंनिस्वार्थ', 'निस्वार्थी', 'निःस्वार्थ', 'निस्वार्थता', 'नि:स्वार्थ', 'निस्वाँ']
['वरिष्ट', 'वरिष्', 'केवरिष्ठ', 'वरिष्ठतम', 'वरिष्ठïता', 'pmवरिष्ठ', 'वरिष्\u200dठ']
['मिनवयस्क', 'अतिवयस्क', 'कीवयस्क', 'नववयस्क', '35523ववयस्क', 'हमवयस्क', 'अर्धवयस्क']
['धक्की', 'धक्काड़े', 'प्रणासुखका', 'धक्काक', 'धक्काशाही', 'धक्काड़', 'धक्कादायक']
['पलायनं', 'पलायान', 'पलायनों', "पलायनम'हमने", 'पलायनकर्ता', 'पलायनकिसी', 'पलायनमुक्त']
['संवदनशील', 'सवेंदनशील', 'सवेदनशील', 'इससंवेदनशील', 'संवेदशील', 'सम्वेदनशील', 'AMसंवेदनशील']
['आप्तवाक्य', 'वाक्य\u200cों', 'वाक्यावयव', 'सद्वाक्य', 'सदवाक्य', 'Մահկանացու', 'विधिवाक्य']
['प्रसारीत', 'प्रचारित', 'अप्रसारित', '998.7', 'टी०वी०', 'पुनर्प्रसारित', 'सेप्रसारित']
['सक्रमित', 'सं\u200dक्रमित', 'वायरस', 'संक्रमण', 'निसंक्रमित', 'परासंक्रमित', 'संक्रमितों']
['सीडूम', 'सुगम्\u200dय', 'गुरुगम्य', 'सुबोगम्य', 'बोध्गम्य', 'एकगम्य', 'सुगम्भीर']
